"Date","VKOSPI_Close","VKOSPI_Change"
2016-04-15,12.11,-2.96
2016-04-18,12.93,6.77
2016-04-19,12.42,-3.94
2016-04-20,12.73,2.5
2016-04-21,12.19,-4.24
2016-04-22,12.33,1.15
2016-04-25,12.83,4.06
2016-04-26,12.49,-2.65
2016-04-27,12.74,2
2016-04-28,12.74,0
2016-04-29,12.42,-2.51
2016-05-02,12.78,2.9
2016-05-03,12.51,-2.11
2016-05-04,12.82,2.48
2016-05-09,13.14,2.5
2016-05-10,12.61,-4.03
2016-05-11,12.79,1.43
2016-05-12,12.05,-5.79
2016-05-13,11.93,-1
2016-05-16,11.84,-0.75
2016-05-17,11.7,-1.18
2016-05-18,11.99,2.48
2016-05-19,12.08,0.75
2016-05-20,12.1,0.17
2016-05-23,12.46,2.98
2016-05-24,12.8,2.73
2016-05-25,11.91,-6.95
2016-05-26,11.71,-1.68
2016-05-27,11.55,-1.37
2016-05-30,11.92,3.2
2016-05-31,11.81,-0.92
2016-06-01,11.67,-1.19
2016-06-02,11.6,-0.6
2016-06-03,11.81,1.81
2016-06-07,12.3,4.15
2016-06-08,12.19,-0.89
2016-06-09,12.08,-0.9
2016-06-10,11.87,-1.74
2016-06-13,15.08,27.04
2016-06-14,16.1,6.76
2016-06-15,16.21,0.68
2016-06-16,17.44,7.59
2016-06-17,17.73,1.66
2016-06-20,16.4,-7.5
2016-06-21,16.1,-1.83
2016-06-22,16.71,3.79
2016-06-23,18.17,8.74
2016-06-24,22.53,24
2016-06-27,19.47,-13.58
2016-06-28,17.39,-10.68
2016-06-29,14.67,-15.64
2016-06-30,13.9,-5.25
2016-07-01,12.91,-7.12
2016-07-04,12.38,-4.11
2016-07-05,12.8,3.39
2016-07-06,14.68,14.69
2016-07-07,13.85,-5.65
2016-07-08,14.74,6.43
2016-07-11,14.08,-4.48
2016-07-12,14.33,1.78
2016-07-13,14.41,0.56
2016-07-14,13.95,-3.19
2016-07-15,13.35,-4.3
2016-07-18,13.43,0.6
2016-07-19,13.49,0.45
2016-07-20,13.04,-3.34
2016-07-21,12.84,-1.53
2016-07-22,12.85,0.08
2016-07-25,13.02,1.32
2016-07-26,12.64,-2.92
2016-07-27,12.88,1.9
2016-07-28,12.68,-1.55
2016-07-29,12.6,-0.63
2016-08-01,12.59,-0.08
2016-08-02,12.58,-0.08
2016-08-03,13.14,4.45
2016-08-04,12.72,-3.2
2016-08-05,12.56,-1.26
2016-08-08,12.24,-2.55
2016-08-09,11.47,-6.29
2016-08-10,11.68,1.83
2016-08-11,11.38,-2.57
2016-08-12,11.2,-1.58
2016-08-16,11.9,6.25
2016-08-17,11.82,-0.67
2016-08-18,11.64,-1.52
2016-08-19,11.73,0.77
2016-08-22,12.35,5.29
2016-08-23,11.87,-3.89
2016-08-24,12.03,1.35
2016-08-25,11.92,-0.91
2016-08-26,12.01,0.76
2016-08-29,11.98,-0.25
2016-08-30,11.49,-4.09
2016-08-31,11.56,0.61
2016-09-01,11.65,0.78
2016-09-02,11.75,0.86
2016-09-05,11.44,-2.64
